docker compose -f docker/docker-compose.dev.yml logs --tail=100 | grep "error"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:38:52.713Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:39:22.698Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:39:52.692Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:40:22.693Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:40:52.693Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:41:22.683Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:41:52.685Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:42:22.680Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:42:52.682Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
friendly-aep-dev-node-exporter  | time=2026-04-15T22:43:22.765Z level=ERROR source=http.go:169 msg="error gathering metrics: 2 error(s) occurred:\n* [from Gatherer #2] collected metric \"node_filesystem_device_error\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:1}} was collected before with the same name and label values\n* [from Gatherer #2] collected metric \"node_filesystem_readonly\" { label:{name:\"device\" value:\"none\"} label:{name:\"device_error\" value:\"no such file or directory\"} label:{name:\"fstype\" value:\"tmpfs\"} label:{name:\"mountpoint\" value:\"/run/user\"} gauge:{value:0}} was collected before with the same name and label values"
